country,ccode,ccodealp,ccodecow,ccodewb,Region,Users,Population,Pop_source,Pop_year,Pop_05m,Pop_05msource,Pop_05myear,Pop_623m,Pop_623msource,Pop_623myear,Pop_2459m,Pop_2459msource,Pop_2459myear,Districts,Health_facilities,Primary_care_fac,Health_workers,Community_health_workers,Nutrition_priority,Planning_HMISrevision,Date_planned,NCM,NCM_Leader,NCM_integrated,Bottleneck,Tracer_interventions,Policy_standalone,Policy_integrated,Policy_complementary,Policy_complementary_MNP,Policy_complementary_LNS,Policy_complementary_mediumLNS,Policy_complementary_largeLNS,Policy_complementary_plumpysup,Policy_complementary_fortified,Policy_complementary_unfortified,Policy_complementary_other,Budget,Code,Code_monitoring,Code_monitoring_Government,Code_monitoring_Comittee,Code_monitoring_NGO,Code_monitoring_Other,Code_monitoring_frequency,Code_monitoring_UNICEF,Code_monitoring_violations,Code_monitoring_prosecution,Code_monitoring_media,Code_monitoring_no,Code_monitoring_DK,Policy_humanitarian,WHO_guidelines,Counselling_doctors,Counselling_nurses,Counselling_PHC,Counselling_PHC_individual,Counselling_PHC_group,HW_training,Counselling_community,Counselling_community_districts,Counselling_community_training,Counselling_community_CHW,Counselling_community_UNICEF,Counselling_community_package,Counselling_community_supervis,Counselling_community_frequency,Counselling_community_,Counselling_community_Agricult,Counselling_community_Wash,Counselling_community_Education,Counselling_community_Welfare,Counselling_community_SP,Counselling_community_other,Counselling_mothers,Formative_research,Media,Media_weeks,Communication_strategy,Communication_strategy_alone,Communication_strategy_implement,Humanitarian,Humanitarian_healthservices,Humanitarian_community,Humanitarian_mothergroups,Humanitarian_formula,Humanitarian_communication,Humanitarian_rapidassessment,Humanitarian_jointstatement,Humanitarian_dealformula,Humanitarian_monitoringformula,Humanitarian_other,Humanitarian_DK,Humanitarian_babyfriendly,Policy_gender,Policy_agriculture,Policy_education,Policy_wash,Policy_SP,Policy_none,Policy_DK,SP_under2,SP_under2_UNICEF,indicators_HS,indicators_HS_BF,indicators_HS_earlyinitiation,indicators_HS_counsellingunder6,indicators_HS_counselling623,indicators_C,indicators_C_BF,indicators_C_earlyinitiation,indicators_C_counsellingunder6,indicators_C_counselling623,indicators_HIV,indicators_HIV_infants,indicators_HIV_infants_BF,indicators_HIV_infants_feeding,indicators_HIV_infants_mixed,share_externally,Signoff
Afghanistan,4,AFG,700,4,ROSA,akana@unicef.org,29060000,Central Statisitc  Office (estimate),2015,438000,Central Statistic Office (estimate),2015,1233000,Central Statistic Office (estimate),2015,3140000,Central Statistic Office (estimate),2015,401,2324,2264,17948,27052,Yes,Yes,2017,Yes,Government,Yes,Yes,SAM,Yes,,No,,,,,,,,,No,Yes-all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,More than one monitoring activity,Yes,Yes,FALSE,FALSE,FALSE,TRUE,Yes,No,No,No,Yes,1114,1114,,Yes,,No,,,,Yes,Every 3 months,No,,,,,,,995288,No,Yes,1-4 weeks,No,,,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No,,No,,,,,Yes,No,"Yes, monitored, recorded and reported",No,Monitored,No,,,,,Yes,No
Albania,8,ALB,339,8,CEECIS,mbukli@unicef.org,2886000,INSTAT,2015,16358,INSTAT,2015,,Unavailable,Unavailable,.,Unavailable,Unavailable,12,455,413,11520,.,Yes,Yes,2016,No,,,No,,No,IYCF elements are integrated within the health policy or strategy,No,,,,,,,,,No,Yes-all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,More than one monitoring activity,Yes,Yes,TRUE,FALSE,FALSE,FALSE,Yes,Yes,"Yes, comprehensively","Yes, comprehensively",Yes,18,18,,Yes,1,No,,,,Yes,Every 3 months,No,,,,,,,,No,Yes,1-4 weeks,No,,,No,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,,Yes,"Yes, monitored and recorded, but not reported",No,"Yes, monitored and recorded, but not reported","Yes, monitored and recorded, but not reported",No,,,,,No,,,,,Yes,Yes
Algeria,12,DZA,615,12,MENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,24,AGO,540,24,ESARO,sagbo@unicef.org,25767884,2014 Census adjusted figures,2016,5153575,2014 Census adjusted figures,2016,1932591,2014 Census adjusted figures,2016,3865175,2014 Census adjusted figures,2016,166,3721,1750,29730,14000,No,Yes,2017,Yes,Government,No,Yes,SAM; Vitamin A; Salt Iodization; IYCF,No,IYCF elements are integrated within the nutrition policy or strategy,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Yes,No-no laws or actions,,,,,,,,,,,,,Yes,Yes,Minimally,Minimally,Yes,550,850,266,No,,No,,,,Yes,Every 6 months,No,,,,,,,320000,No,Yes,1-4 weeks,Yes,No,Yes,Yes,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Yes - Cash transfers,Yes,No,,,,,No,,,,,No,,,,,Yes,Yes
Anguilla,,,,,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,28,ATG,58,28,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,ARG,160,32,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,51,ARM,371,51,CEECIS,mhakobyan@unicef.org,2976566,"UN Populations Division, World Population Pro",2013,19233.5,"UN Populations Division, World Population Pro",2013,59958.5,"UN Populations Division, World Population Pro",2013,130694,"UN Populations Division, World Population Pro",2013,48,639,509,30949,1500,Yes,No,,No,,,No,,Yes,,No,,,,,,,,,Yes,Yes-all provisions of Code and Resolutions included,No,,,,,,,,,,,,No,Yes,"Yes, comprehensively","Yes, comprehensively",Yes,101,101,1200,Yes,48,Yes,1200,"Entire UNICEF package adapted, 5-day training, plus supervision module",,No,,No,,,,,,,9500,No,Yes,5-24 weeks,No,,,No,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Yes - Cash transfers,No,No,,,,,No,,,,,No,,,,,Yes,Yes
Azerbaijan,31,AZE,373,31,CEECIS,numarov@unicef.org,9705600,Azerbaijan State Statistical Committee,2015,83100,Azerbaijan State Statistical Committee,2015,251600,Azerbaijan State Statistical Committee,2015,517200,Azerbaijan State Statistical Committee,2015,77,2309,1750,91200,0,Yes,Yes,2017,Yes,Government,Yes,Yes,IYCF,Yes,,No,,,,,,,,,Yes,Yes-partially – not all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,Monitoring is a continuous activity,No,Yes,FALSE,TRUE,FALSE,FALSE,No,Yes,Minimally,Minimally,Yes,1750,0,,No,,No,,,,No,,No,,,,,,,325000,No,Yes,1-4 weeks,Yes,No,Yes,No,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes - Subsidies,No,Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",No,,,,,"Yes, monitored, recorded and reported",64,0,64,0,Yes,Yes
Bahrain,48,BHR,692,48,MENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
